Date,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2022-01-03,325.6347961425781,328.79629901774877,320.80012748139205,326.21846414915797,28865100
2022-01-04,320.0511169433594,326.07256655416444,317.239796956852,325.7126166614886,32674300
2022-01-05,307.7649841308594,317.19112801347296,307.37588205960316,316.9868249346307,40054300
2022-01-06,305.3330993652344,310.0218586119927,303.0081644576789,304.62296646871727,39646100
2022-01-07,305.48870849609375,307.8817144573573,301.6462550034294,305.5956989498197,32720000
2022-01-10,305.7123718261719,306.15013013581523,296.3932496718042,301.0625331039594,44289500
2022-01-11,306.4031066894531,307.9886968599788,301.45171092918275,304.84666874501306,29386800
2022-01-12,309.6035461425781,314.6035989823471,308.44594728470446,310.9654481070807,34372200
2022-01-13,296.50030517578125,312.14246451080345,295.7221009951654,311.7436252200972,45366000
2022-01-14,301.7533264160156,302.35643918716585,295.47894678254033,295.9653318801247,39846400
2022-01-18,294.4088439941406,301.3641437796384,293.5236197033921,295.7901905004896,42333200
2022-01-19,295.0703430175781,305.3622673575025,294.4575227878917,297.9497639039901,45933900
2022-01-20,293.38739013671875,303.16371516926193,292.93992432186644,300.65398204026127,35380700
2022-01-21,287.96917724609375,295.82914784018726,287.5606006771118,294.44783070331806,57984400
2022-01-24,288.2998352050781,289.019675493024,268.5331420193464,284.2434009991435,85731500
2022-01-25,280.6343994140625,286.9574042251114,277.40482567237643,283.5818912385189,72848600
2022-01-26,288.6305847167969,300.09955158053,285.05079816308023,299.6034293699441,90428900
2022-01-27,291.6753845214844,298.93224118758064,289.8173900598136,294.4186033404908,53481300
2022-01-28,299.86614990234375,300.080160532773,286.43219588020236,292.05480642156255,49743700
2022-01-31,302.51202392578125,303.87389598233557,298.02753880893874,300.5373020221314,46444500
2022-02-01,300.35247802734375,302.17155319764396,296.82131813836816,301.9575426078095,40950400
2022-02-02,304.9245300292969,306.53933207840674,300.4692557003281,301.19883332986984,36636000
2022-02-03,293.0469970703125,302.7552535027513,291.79211531003233,301.06261331619567,43730000
2022-02-04,297.60931396484375,300.3914224555143,291.8018747496891,292.0353300953145,35096500
2022-02-07,292.75518798828125,299.45755887264727,291.733761520673,297.8330493495718,28533300
2022-02-08,296.2668762207031,297.2396463763231,291.7824200528577,293.04700938052804,32421200
2022-02-09,302.7357482910156,303.436143889823,299.0197893926343,301.4322400322935,31284700
2022-02-10,294.146240234375,300.70270149055546,292.5119935208932,295.76104223219227,45386200
2022-02-11,287.006103515625,296.00422709422884,286.2084248952271,294.9341740286448,39175600
2022-02-14,286.9671630859375,288.679247863717,283.4165583613439,285.7706452442049,36359500
2022-02-15,292.2882080078125,292.609209051119,288.932139576683,291.84074211252357,27058300
2022-02-16,291.94708251953125,293.2825285212972,286.2738465978352,290.8455745770607,29982100
2022-02-17,283.3982238769531,289.31512471612086,282.6866227036371,288.88621849493984,32461600
2022-02-18,280.6688537597656,286.4493014013889,279.08971235663495,285.65973069982357,34264000
2022-02-22,280.464111328125,284.1877834917161,277.32531396607703,277.812704676035,41736100
2022-02-23,273.2020568847656,284.3438343460479,273.03636065430806,282.8621471204411,37811200
2022-02-24,287.16082763671875,287.7164601327859,264.6726152766179,265.6376690192518,56989700
2022-02-25,289.81231689453125,290.12425414795905,284.29504943491895,287.6970574684167,32546700
2022-02-28,291.2550048828125,291.59618439508904,285.61101104501586,286.8879725712154,34627500
2022-03-01,287.5118408203125,292.4052336749819,284.78243452949044,288.9252562718697,31217800
2022-03-02,292.6196594238281,293.8673785477649,286.29333703933276,287.91144814315027,31873000
2022-03-03,288.4573669433594,295.4855335304221,286.6345004718667,295.2515954797372,27314500
2022-03-04,282.5501403808594,288.20389071093314,279.92800561542646,286.8684448672686,32356500
2022-03-07,271.8763427734375,282.38448735317786,271.5059210014731,281.2537371143296,43157200
2022-03-08,268.8934631347656,276.79892624479913,263.1909858256169,270.7942690725029,48159500
2022-03-09,281.2244567871094,282.29672236396794,273.6991425767522,276.2920648815301,35204500
2022-03-10,278.3878173828125,279.37235611943896,273.5041530332084,275.8826220369622,30628000
2022-03-11,273.00701904296875,282.20895734014323,272.38314470175277,280.6980284032416,27209300
2022-03-14,269.4685974121094,278.2026312310251,268.8642376481267,273.2702392726219,30660700
2022-03-15,279.9085388183594,280.56165559889956,271.7008941610274,273.28003564033486,34245100
2022-03-16,286.9659118652344,287.14136537848043,276.05810557225556,281.8190374929418,37826300
2022-03-17,287.7749938964844,288.155143210263,282.0725162060414,285.8936727522642,30816600
2022-03-18,292.85357666015625,293.409209212463,285.34777752908354,287.92118502466127,43390600
2022-03-21,291.61566162109375,292.5709582806592,287.4630825627041,291.3524813032419,28351200
2022-03-22,296.39202880859375,297.3083257004259,291.23542689570303,292.2394505433956,27599700
2022-03-23,291.9372253417969,295.58292742416523,290.2118732486186,292.9315212496986,25715400
2022-03-24,296.43109130859375,296.5285754184512,290.7968548353262,291.5961828889944,24484500
2022-03-25,296.0216369628906,297.7957464215104,291.74236167311045,297.53256612739574,22566500
2022-03-28,302.86456298828125,302.9620173202891,296.65518109481707,296.65518109481707,29578200
2022-03-29,307.45587158203125,307.8555356124109,301.25624506537525,305.99369916511864,30393400
2022-03-30,305.9448547363281,307.9821738994421,303.72235448816923,305.84740040145147,28163600
2022-03-31,300.53485107421875,307.19262469552484,300.1254595450532,305.98387553082625,33422100
2022-04-01,301.6169128417969,302.30899939577387,297.8347557615202,301.5681559167176,27110500
2022-04-04,307.02691650390625,307.16337043885454,301.899556524031,302.2699782371281,24289600
2022-04-05,303.0400695800781,306.92943814434017,302.05553077139234,305.3697818354029,23156700
2022-04-06,291.94708251953125,299.2579443522407,289.2274335883309,297.49359207645136,40110400
2022-04-07,293.7698669433594,295.992367354406,288.87647500488833,289.1786548602699,31411200
2022-04-08,289.4808044433594,293.5261408970455,288.80820296514565,292.86329675120044,24361900
2022-04-11,278.06622314453125,285.2308444774175,277.81277039604595,284.4315461324585,34569300
2022-04-12,274.94683837890625,283.4079337629206,273.4164244465442,281.9457616678411,30966700
2022-04-13,280.3666687011719,281.3024506732569,274.2060420766694,275.6000023217637,21907200
2022-04-14,272.77313232421875,281.0392913131774,272.2760139180962,280.82483816317216,28221600
2022-04-18,273.4456787109375,275.3367570834857,271.32066231224934,271.87629487230055,20778000
2022-04-19,278.10516357421875,278.9532485087538,271.3889341815737,272.3344734724712,22297700
2022-04-20,279.138427734375,282.39422425874454,278.17340352836885,282.101771947732,22906700
2022-04-21,273.7283935546875,285.90340510019286,272.9973074218899,281.30243518120113,29454600
2022-04-22,267.1194152832031,276.0581761337199,266.48581315810736,274.5764889818925,29405800
2022-04-25,273.6407165527344,274.0208659419781,263.94162686122405,266.3980957528581,35678900
2022-04-26,263.4054870605469,271.34019387339646,263.19103391706585,270.5018959703177,46518400
2022-04-27,276.07763671875,283.63219386636825,272.12002593480327,274.9858861228988,63477700
2022-04-28,282.325927734375,283.6418885091446,274.3619509995726,277.9978961517353,33646600
2022-04-29,270.5213928222656,282.569709486261,269.5271262484502,281.33171775194916,37073900
2022-05-02,277.2960510253906,277.7541994484891,269.25410491106345,270.7065195990292,35151100
2022-05-03,274.6739807128906,276.9647236114233,273.0850818141642,276.79899763664605,25978600
2022-05-04,282.6671447753906,283.5444421593352,269.7512901427397,275.4634953465318,33599300
2022-05-05,270.35565185546875,279.12868525425324,267.42155005496926,278.33911462820026,43260400
2022-05-06,267.8017578125,272.2077599045494,264.4289920814444,267.8797272508487,37780300
2022-05-09,257.90765380859375,265.4914520308154,256.67944945375484,263.2494666744855,47726000
2022-05-10,262.7035827636719,266.84640364213425,258.38530837575144,264.83835637264633,39336400
2022-05-11,253.979248046875,264.51663119771115,252.76077145914684,258.9798807225856,48975900
2022-05-12,248.9104766845703,253.32623595061162,243.71488919764607,251.19146195961426,51033800
2022-05-13,254.53494262695312,256.4065362115502,248.9104640346722,250.86002705080753,34925100
2022-05-16,254.90533447265625,259.11639723328454,249.32958371033374,253.40416279680898,32550900
2022-05-17,260.0912170410156,261.5631169343919,255.8411540674959,259.399100730676,28828800
